"","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases","Malaria - number of reported confirmed cases"
"Iran (Islamic Republic of)","57","81","167","358","479","756","1632","1847","4345","8349","15712","15909","18966","13821","23562","15558","19303","19716"
"Iraq","0","0","0","0","0","0","0","0","0","2","3","24","47","155","347","952","1265","1860"
"Kazakhstan","0","0","0","","","","","","","","","","","","","","",""
"Kenya","3215116","2783846","1499027","2808931","2335286","1453471","1002805","898531","","839903","","","","28328","39383","20049","",""
"Kyrgyzstan","0","0","0","0","0","0","0","3","4","18","96","317","226","93","468","2743","28","12"
"Lao People's Democratic Republic","9333","11223","36056","48071","38131","46202","17532","20800","14674","19347","17458","18382","13615","16183","18894","21420","27076","40106"
"Liberia","","1191137","931086","864204","1244220","1407455","1915762","922173","839581","606952","492272","761415","44875","","","","",""
"Madagascar","800661","475333","744103","377963","385598","359420","224498","202450","215110","93234","48497","5689","6753","7638","6909","5272","8538","6946"
"Malawi","4901344","4827373","3661238","2905310","1280892","1564984","304499","","","","","","","","","","",""
"Malaysia","85","266","242","3147","2921","3662","3954","5194","5955","6071","4048","5294","5569","6154","6338","11019","12780","12705"
"Mali","1918376","2156282","2295611","2039853","1367218","886482","307035","227482","","","","","","","","","",""
"Mauritania","20105","23042","22631","15835","13085","9037","5991","6367","940","302","","1061","","","","","",""
"Mauritius","0","","","","","","","","","","","","","","","","",""
"Mexico","736","551","517","656","495","833","1124","1226","2703","2357","2361","2514","2967","3406","3819","4624","4996","7390"
"Morocco","0","0","0","0","0","0","0","3","0","0","0","0","0","1","4","19","0","3"
"Mozambique","8921081","8520376","7718782","7117648","2998874","1813984","1756874","1522577","93874","120259","141663","","","","","","",""
"Myanmar","19619","110146","182768","205658","333871","480586","465294","420808","436068","447073","373958","203071","165737","152070","177530","173096","170502","120083"
