"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Eritrea","28.88","33.97","25.64","19.2","33.12","15.03","16.15","23.86","26.33","8.86","6.78","12.54","5.63","9.79","5.55","19.03","13.23","22.93","21.56"
"Eswatini","0.84","2.3","1.12","0.51","2.32","3.16","1.86","1.83","0.9","0.36","0.2","0.29","0.53","0.97","2","1.19","2.35","4.92","2.88"
"Ethiopia","31.81","36.74","41.41","52.77","57.1","111.6","116.19","116.13","128.4","123.35","90.66","121.69","145.51","161.13","218.76","183.52","155.28","157.31","157.31"
"Gabon","248.23","254.24","270.67","284.44","285.74","272.83","245.53","212.72","177.82","145.95","118.87","110.66","123.91","154.29","207.38","270.82","324.12","362.03","382.79"
"Gambia","66","53.02","116.53","195.04","142.02","236.99","274.82","257.26","289.27","297.98","306.84","316.01","325.67","335.95","346.91","358.48","370.49","382.69","394.9"
"Georgia","0","0","0","0","0","0","0","0","0","0.02","0.14","0.58","1.41","3.68","6.08","7.45","11.13","10.19","5.62"
"Ghana","224.34","212.56","236","277.19","315.77","349.28","374.29","379.52","364.15","351.39","333.72","322.33","333.34","339.03","354.12","372.85","393.23","422.14","437.53"
"Guatemala","0.27","0.34","0.45","0.65","0.55","0.62","0.54","0.71","0.87","0.77","0.8","1.74","3.62","4.71","3.53","3.9","4.58","4.74","7.24"
"Guinea","283.89","311.53","331.47","356.64","381.09","408.08","427.8","426.9","414.66","398.14","370.17","343.69","335.5","342.01","369.48","404.52","428.29","450.82","458.08"
"Guinea-Bissau","123.31","78.33","71.35","79.77","93.9","113.39","128.75","140.55","134.37","113.8","89.02","72.81","78","98.45","146.42","226.97","311.14","395.69","474.54"
"Guyana","44.37","32.55","24.98","23.49","29.23","75.68","57.7","54.65","43.8","26.85","24.03","21.03","37.02","73.15","54.2","51.91","41.16","50.96","45.03"
"Haiti","1.61","3.55","3.8","3.44","3.49","5.31","6.53","9.03","8.73","9.01","10.39","8.64","9.73","10.23","10.56","10.91","11.28","11.67","12.07"
"Honduras","0.13","0.22","0.74","0.59","0.56","0.92","1.11","1.32","1.77","1.75","1.62","2.12","2.49","3.46","3.81","3.2","4.02","5.79","8.65"
"India","5.33","7.47","9.99","9.67","9.2","9.16","11.85","14.76","17.52","18.2","17.93","17.34","18.23","22.69","21.27","19.42","18.5","19.96","19.93"
"Indonesia","3.87","6.77","5.54","5.38","6.1","8.13","9.68","9.89","11.02","7.3","7.5","7.7","8.09","9.74","6.52","8.57","8.8","9.05","9.3"
"Iran (Islamic Republic of)","0","0.07","0.1","0.21","0.45","0.61","0.98","2.14","2.45","5.83","11.33","21.56","22.08","26.62","19.62","33.86","22.64","28.44","29.41"
"Iraq","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.04","0.09","0.29","0.4","0.61"
"Kazakhstan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenya","70.1","70.1","70.38","72.17","83.87","82.48","73.36","67.86","67.71","67.94","67.68","78.02","100.05","127.31","166.15","196.73","207.03","212.49","213.19"
"Kyrgyzstan","0","0","0","0","0","0","0","0","0","0","0","0.02","0.08","0.06","0.02","0.12","0.7","0.01","0"
"Lao People's Democratic Republic","4.2","5.63","7.77","22.3","29.9","23.3","28.76","10.87","15.74","15.03","21.5","22.22","23.26","12.96","16.53","20.04","22.21","29.55","62.72"
"Liberia","361.5","401.11","386.3","346.97","337.57","317.28","307.9","330.41","345.77","368.81","383.33","383.18","388.81","404.63","428.7","446.45","461.73","475.18","478.34"
"Madagascar","82.4","75.67","56.58","97.32","45.78","65.21","71.36","36.55","42.24","42.92","23.47","22.78","35.26","35.94","46.62","68.29","53.68","68.18","57.17"
"Malawi","213.64","216.26","210.66","217.04","237","267.86","314.02","362.78","386.02","394.29","392","370.08","342.34","329.47","337.61","363.76","397.84","426.39","426.53"
"Malaysia","0","0.07","0.22","0.2","2.63","2.48","3.15","3.45","4.6","5.37","5.57","3.79","5.05","5.42","6.11","6.42","11.38","13.48","13.69"
"Mali","386.78","386.78","384.22","391.83","441.01","452.82","435.65","404.73","383.6","374.56","379.06","388.81","405.71","431.24","429.37","423.81","416.46","407.45","406.23"
"Mauritania","39.41","55.49","71.5","61.61","49.2","33.22","28.42","47.58","38.83","31.64","61.14","70.77","72.44","81.78","90.82","113.48","118.56","151.35","147.95"
"Mexico","0.3","0.28","0.21","0.2","0.26","0.2","0.33","0.46","0.51","1.13","1","1.02","1.1","1.32","1.54","1.75","2.14","2.35","3.52"
"Morocco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mozambique","305.36","326.4","344.82","355.88","364.83","376.98","381.78","389.92","398.41","402.3","399.79","399.45","403.93","417.87","455.54","488.09","499.46","507.75","492.56"
"Myanmar","3.4","3.8","5.12","8.69","12.33","19.83","61.86","43.49","66.98","49.9","52.96","43.54","34.69","50.79","51.6","52.5","53.49","54.57","55.76"
"Namibia","26.71","46.75","22.12","10.88","14.49","4.55","3.36","2.13","1.54","3.36","7.46","12.97","43.57","42.45","69.67","45.3","47.9","71.09","58.15"
"Nepal","0.44","0.39","0.43","0.57","0.63","1.31","2.34","3.03","3.87","3.29","4.16","5.72","4.89","5.01","4.9","10.41","12.35","8.21","7.18"
"Nicaragua","7.14","4.98","2.89","1.06","0.54","0.56","0.6","0.45","0.34","0.31","0.39","0.7","1.64","3.54","3.73","3.68","4.28","5.91","13.54"
"Niger","356.57","356.57","358.74","369.83","400.25","420.49","430.51","427.88","425.64","419.1","409.1","386.68","370.73","355.24","362.81","346.82","328.3","317.48","317.3"
"Nigeria","291.94","283.06","281.38","296.08","314.4","328.65","347.74","372.56","398.9","416.59","424.66","421.33","418.17","415.28","411.39","409.16","412.96","429.04","438.75"
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pakistan","3.38","4.75","6.01","5.06","7.15","7.55","8.98","10.57","8.2","5.89","4.53","5.06","5.28","5.36","4.44","6.14","6.57","7.23","7.33"
"Panama","0.19","0.2","0.21","0.15","0.27","0.2","0.24","0.1","0.12","0.24","0.23","0.4","0.53","1.2","1.7","1.53","0.78","0.33","0.37"
"Papua New Guinea","184.47","177.84","177.61","131.54","243.03","215.41","169.88","139.98","169.63","248.33","190.13","205.44","246.74","238.51","291.69","230.12","215.5","254.35","260.58"
"Paraguay","0","0","0","0","0","0","0","0","0.08","0.41","1.59","6.21","3.87","1.79","3.36","6.86","13.95","13.87","35.76"
"Peru","4.65","5.87","6","7.85","7.1","5.36","3.49","2.69","3.32","4.6","4.87","5.63","7.25","9.88","10.64","10.4","12.12","9.98","9.07"
"Philippines","0.18","0.31","0.29","0.47","0.25","0.31","0.34","0.43","0.98","1.09","1.41","2.17","2.33","3.03","3.45","3.25","2.56","2.44","2.64"
"Republic of Korea","0.14","0.12","0.17","0.18","0.16","0.11","0.11","0.14","0.37","0.26","0.31","0.65","0.6","0.4","0.25","0.35","0.54","0.77","1.26"
"Rwanda","486.49","538.34","585.54","341.96","219.81","121.45","71.46","39.29","126.31","158.16","72.03","90.64","154.02","154.61","126.8","144.92","171.7","213.38","223.17"
"Sao Tome and Principe","13.92","10.81","11.01","10.32","8.96","48.12","56.8","45.75","15.19","35.15","36.57","14.56","31.83","115.19","302.38","283.61","343.07","290.73","224.76"
"Saudi Arabia","0.02","0.07","0.1","0.03","0.01","0.01","0.04","0.03","0.01","0.03","0.03","0.23","0.65","0.56","0.66","0.96","1.5","1.81","3.99"
"Senegal","55.75","52.35","45.66","69.8","39.51","67.9","56.92","49.91","59.28","57.12","86.42","101.91","117.67","110.85","125.73","164.93","193.51","239.51","255.64"
"Sierra Leone","320.4","364.13","391.33","403.72","409.31","432.7","447.47","453.65","458.74","442.15","413.85","379.94","374.6","388.26","414.05","439.79","458","468.8","465.78"
"Solomon Islands","133.59","164.34","137.71","66.85","52.63","94.92","94.86","116.91","174.95","147.65","185.88","319.15","591.27","613.79","743.51","539.99","649.79","681.26","623.15"
"Somalia","34.27","37.13","37.26","37.27","32.1","28.05","24.45","24.35","29.59","38.44","63.1","100.56","120.07","136.56","119.99","121","126.19","125.96","125.58"
"South Africa","1.65","3.95","0.77","0.21","2.15","1.61","1.25","1.9","1.57","1.2","1.57","1.29","2.49","1.62","2.83","2.88","3.39","5.82","4.23"
"South Sudan","235.92","245.8","244.55","240.36","236.14","234.38","232.68","235.87","243.97","255.07","267.14","276.75","289.3","300.67","315.72","332.83","347.21","373.79","380.08"
